y,week,soldout,remarks,payday,weather,precipitation,temperature,month,quarter,day,carry,moving_avg,kcal,event_remarks,mean_tem,before1day_weather,before_1day_y
105,1,1,0,0.0,2,0,15.3,1,1,0.9666666666666667,0,113.2,448.0,0,1.5699369936993701,0.0,121.0
92,4,1,0,0.0,0,0,14.1,1,1,1.0,0,112.8,460.0,0,1.4468046804680468,2.0,105.0
139,0,1,0,0.0,1,0,15.9,2,1,0.06666666666666667,1,112.8,445.0,0,1.6315031503150315,0.0,92.0
121,3,1,0,0.0,4,0,3.8,2,1,0.1,0,115.4,430.0,0,0.3899189918991899,1.0,139.0
126,2,1,0,0.0,0,0,3.0,2,1,0.13333333333333333,0,115.6,420.0,0,0.30783078307830786,4.0,121.0
111,1,1,0,0.0,2,0,4.2,2,1,0.16666666666666666,0,116.6,435.0,0,0.430963096309631,0.0,126.0
91,4,1,0,0.0,1,0,5.5,2,1,0.2,0,117.8,425.0,0,0.5643564356435644,2.0,111.0
137,0,0,0,1.0,2,0,7.8,2,1,0.3,0,117.6,423.0,0,0.8003600360036004,1.0,91.0
111,2,0,0,0.0,2,0,6.3,2,1,0.36666666666666664,0,117.2,415.0,0,0.6464446444644464,2.0,137.0
84,1,0,0,0.0,2,0,6.4,2,1,0.4,0,115.2,438.0,0,0.6567056705670568,2.0,111.0
86,4,1,0,0.0,5,0.5,1.2,2,1,0.43333333333333335,0,106.8,432.0,0,0.12313231323132313,2.0,84.0
137,0,1,0,0.0,1,0,11.6,2,1,0.5333333333333333,0,101.8,416.0,0,1.1902790279027902,5.0,86.0
99,3,0,0,0.0,1,0,6.8,2,1,0.5666666666666667,0,111.0,426.0,0,0.6977497749774978,1.0,137.0
113,2,0,0,0.0,3,0,7.3,2,1,0.6,0,103.4,405.0,0,0.7490549054905491,1.0,99.0
85,1,1,0,0.0,3,0,5.4,2,1,0.6333333333333333,0,103.8,426.0,0,0.5540954095409542,3.0,113.0
113,4,0,0,0.0,0,0,8.5,2,1,0.6666666666666666,1,104.0,410.0,1,0.8721872187218722,3.0,85.0
129,0,1,0,0.0,2,0,6.6,2,1,0.7666666666666667,0,109.4,408.0,0,0.6772277227722772,0.0,113.0
104,3,0,0,0.0,0,0,10.5,2,1,0.8,0,107.8,396.0,0,1.0774077407740774,2.0,129.0
104,2,0,0,0.0,1,0,11.5,2,1,0.8333333333333334,0,108.8,384.0,0,1.18001800180018,0.0,104.0
90,1,1,0,0.0,4,0,8.5,2,1,0.8666666666666667,0,107.0,436.0,0,0.8721872187218722,1.0,104.0
69,4,0,0,0.0,1,0,17.7,2,1,0.9,0,108.0,428.0,0,1.8162016201620161,4.0,90.0
131,0,0,0,0.0,2,0,7.8,3,1,0.06666666666666667,1,99.2,407.0,0,0.8003600360036004,1.0,69.0
100,3,1,0,0.0,1,0,8.3,3,1,0.1,0,99.6,413.0,0,0.8516651665166517,2.0,131.0
110,2,1,0,0.0,4,1.5,6.1,3,1,0.13333333333333333,0,98.8,393.0,0,0.6259225922592259,1.0,100.0
77,1,0,0,0.0,0,0,6.7,3,1,0.16666666666666666,0,100.0,409.0,0,0.6874887488748875,4.0,110.0
73,4,1,0,0.0,0,0,7.0,3,1,0.2,0,97.4,396.0,0,0.7182718271827183,0.0,77.0
123,0,0,0,1.0,2,0,7.6,3,1,0.3,0,98.2,385.0,0,0.7798379837983798,0.0,73.0
89,3,0,0,0.0,0,0,8.7,3,1,0.3333333333333333,0,96.6,397.0,0,0.8927092709270926,2.0,123.0
68,2,0,0,0.0,0,0,14.8,3,1,0.36666666666666664,1,94.4,370.0,0,1.5186318631863187,0.0,89.0
80,1,1,0,0.0,4,0.5,15.2,3,1,0.4,0,86.0,372.0,0,1.5596759675967595,0.0,68.0
70,4,1,0,0.0,2,0,11.5,3,1,0.43333333333333335,0,86.6,360.0,0,1.18001800180018,4.0,80.0
129,0,0,0,0.0,0,0,14.0,3,1,0.5333333333333333,0,86.0,382.0,0,1.4365436543654366,2.0,70.0
90,3,1,0,0.0,1,0,18.9,3,1,0.5666666666666667,0,87.2,400.0,0,1.9393339333933393,0.0,129.0
72,2,1,0,0.0,2,0,12.6,3,1,0.6,0,87.4,392.0,0,1.2928892889288928,1.0,90.0
100,1,1,0,0.0,4,0.5,7.5,3,1,0.6333333333333333,0,88.2,372.0,0,0.7695769576957696,2.0,72.0
102,0,0,0,0.0,0,0,17.4,3,1,0.7666666666666667,0,92.2,350.0,0,1.7854185418541852,4.0,100.0
77,3,0,0,0.0,0,0,18.9,3,1,0.8,0,98.6,407.0,0,1.9393339333933393,0.0,102.0
51,2,0,0,0.0,2,0,18.7,3,1,0.8333333333333334,0,88.2,392.0,0,1.9188118811881187,0.0,77.0
55,1,1,0,0.0,2,1.5,12.4,3,1,0.8666666666666667,0,80.4,315.0,0,1.2723672367236725,2.0,51.0
106,4,0,1,0.0,0,0,18.5,3,1,0.9,1,77.0,382.1578947368421,0,1.8982898289828982,2.0,55.0
84,0,0,0,0.0,1,0,17.5,3,1,1.0,0,78.2,349.0,0,1.7956795679567956,0.0,106.0
125,3,1,0,0.0,3,0,16.1,4,2,0.0,0,74.6,377.0,0,0.7310678189541525,1.0,84.0
99,2,0,0,0.0,3,0,18.2,4,2,0.03333333333333333,0,84.2,380.0,0,0.8264244909916506,3.0,125.0
100,1,1,0,0.0,4,1,14.3,4,2,0.06666666666666667,0,93.8,390.0,0,0.649333528636297,3.0,99.0
90,4,1,0,0.0,1,0,17.8,4,2,0.1,0,102.8,350.0,0,0.8082613153654605,4.0,100.0
107,0,0,0,0.0,0,0,13.8,4,2,0.2,0,99.6,387.0,0,0.6266295591035593,1.0,90.0
96,3,1,0,0.0,0,0,20.1,4,2,0.23333333333333334,0,104.2,353.0,0,0.9126995752160538,0.0,107.0
88,2,1,0,0.0,1,0,19.0,4,2,0.26666666666666666,0,98.4,376.0,0,0.8627508422440309,0.0,96.0
87,1,0,0,1.0,1,0,21.3,4,2,0.3,0,96.2,362.0,0,0.9671891020946242,1.0,88.0
128,4,1,1,0.0,0,0,16.5,4,2,0.3333333333333333,1,93.6,360.0,0,0.7492309945803426,1.0,87.0
92,0,0,0,0.0,1,0,16.4,4,2,0.43333333333333335,0,101.2,340.0,0,0.744690200673795,0.0,128.0
82,3,0,0,0.0,0,0,19.7,4,2,0.4666666666666667,0,98.2,370.0,0,0.8945363995898635,1.0,92.0
57,2,0,0,0.0,3,0,21.5,4,2,0.5,0,95.4,330.0,0,0.9762706899077191,0.0,82.0
57,1,0,0,0.0,0,0,20.1,4,2,0.5333333333333333,0,89.2,333.0,0,0.9126995752160538,3.0,57.0
56,4,1,0,0.0,2,0,11.4,4,2,0.5666666666666667,0,83.2,325.0,0,0.5176505053464185,0.0,57.0
109,0,0,0,0.0,2,0,16.4,4,2,0.6666666666666666,0,68.8,375.0,0,0.744690200673795,2.0,56.0
78,3,1,0,0.0,2,0,18.8,4,2,0.7,0,72.2,382.0,0,0.8536692544309359,2.0,109.0
63,2,0,0,0.0,0,0,19.4,4,2,0.7333333333333333,0,71.4,340.0,0,0.880914017870221,2.0,78.0
56,1,1,0,0.0,1,0,19.9,4,2,0.7666666666666667,0,72.6,360.0,0,0.9036179874029586,0.0,63.0
80,4,0,1,0.0,1,0,20.8,4,2,0.8,0,72.4,360.0,0,0.9444851325618865,1.0,56.0
54,0,0,0,0.0,1,0,22.7,4,2,0.9,0,77.2,342.0,0,1.0307602167862895,1.0,80.0
97,2,1,0,0.0,4,0.5,17.5,4,2,0.9666666666666667,0,66.2,368.0,0,0.794638933645818,1.0,54.0
64,1,0,0,0.0,1,0,24.0,5,2,0.0,0,70.0,415.0,0,1.0897905375714074,4.0,97.0
47,4,0,0,0.0,1,0,23.3,5,2,0.03333333333333333,0,70.2,420.0,0,1.0580049802255747,1.0,64.0
88,2,1,0,0.0,1,0,18.9,5,2,0.2,0,68.4,415.0,0,0.8582100483374833,1.0,47.0
59,1,0,0,0.0,3,0,21.0,5,2,0.23333333333333334,0,70.0,405.0,0,0.9535667203749815,1.0,88.0
58,4,1,0,1.0,1,0,23.4,5,2,0.26666666666666666,0,71.0,434.0,0,1.0625457741321223,3.0,59.0
73,0,0,0,0.0,3,0,22.7,5,2,0.36666666666666664,0,63.2,400.0,0,1.0307602167862895,1.0,58.0
70,3,1,0,0.0,4,0,18.6,5,2,0.4,0,65.0,428.0,0,0.8445876666178408,3.0,73.0
64,2,1,0,0.0,3,0,26.0,5,2,0.43333333333333335,0,69.6,430.0,0,1.1806064157023581,4.0,70.0
58,1,1,0,0.0,2,0,19.3,5,2,0.4666666666666667,0,64.8,403.0,0,0.8763732239636735,3.0,64.0
126,4,0,1,0.0,0,0,23.8,5,2,0.5,1,64.6,419.1111111111111,1,1.0807089497583124,2.0,58.0
70,0,1,0,0.0,2,0,22.8,5,2,0.6,0,78.2,406.0,0,1.035301010692837,0.0,126.0
71,3,0,0,0.0,3,0,23.9,5,2,0.6333333333333333,0,77.6,425.0,0,1.0852497436648598,2.0,70.0
104,2,1,0,0.0,4,6,17.4,5,2,0.6666666666666666,0,77.8,430.0,0,0.7900981397392703,3.0,71.0
54,1,1,0,0.0,6,0,19.0,5,2,0.7,0,85.8,428.0,0,0.8627508422440309,4.0,104.0
65,4,0,0,0.0,3,0,19.8,5,2,0.7333333333333333,0,85.0,400.0,0,0.8990771934964111,6.0,54.0
77,0,1,0,0.0,3,0,23.9,5,2,0.8333333333333334,0,72.8,430.0,0,1.0852497436648598,3.0,65.0
79,3,0,0,0.0,2,0,23.7,5,2,0.8666666666666667,0,74.2,423.0,0,1.0761681558517648,3.0,77.0
74,2,1,0,0.0,1,0,25.7,5,2,0.9,0,75.8,414.0,0,1.1669840339827153,2.0,79.0
64,1,1,0,0.0,0,0,26.0,5,2,0.9333333333333333,0,69.8,438.0,0,1.1806064157023581,1.0,74.0
119,4,0,1,0.0,3,0,26.9,5,2,0.9666666666666667,1,71.8,419.1111111111111,0,1.2214735608612857,0.0,64.0
74,0,0,0,0.0,3,0,30.6,6,2,0.03333333333333333,0,82.6,420.0,0,1.3894829354035445,3.0,119.0
59,3,0,0,0.0,3,0,27.0,6,2,0.06666666666666667,0,82.0,418.0,0,1.2260143547678333,3.0,74.0
47,2,0,0,0.0,1,0,27.5,6,2,0.1,0,78.0,424.0,0,1.248718324300571,3.0,59.0
64,1,1,0,0.0,4,0,21.5,6,2,0.13333333333333333,0,72.6,405.0,0,0.9762706899077191,1.0,47.0
93,4,0,0,0.0,4,6.5,19.9,6,2,0.16666666666666666,0,72.6,430.0,0,0.9036179874029586,4.0,64.0
74,0,1,0,0.0,4,0,25.0,6,2,0.26666666666666666,0,67.4,417.0,0,1.1351984766368828,4.0,93.0
56,3,0,0,1.0,2,0,25.5,6,2,0.3,0,67.4,426.0,0,1.1579024461696203,4.0,74.0
50,2,1,0,0.0,4,2.5,22.3,6,2,0.3333333333333333,0,66.8,413.0,0,1.0125970411600995,2.0,56.0
72,1,1,0,0.0,4,0.5,21.3,6,2,0.36666666666666664,0,67.4,440.0,0,0.9671891020946242,4.0,50.0
121,4,0,1,0.0,1,0,29.5,6,2,0.4,1,69.0,423.3157894736842,0,1.3395342024315215,4.0,72.0
76,0,1,0,0.0,3,0,28.1,6,2,0.5,0,74.6,440.0,0,1.2759630877398562,1.0,121.0
63,3,0,0,0.0,3,0,27.6,6,2,0.5333333333333333,0,75.0,427.0,0,1.2532591182071187,3.0,76.0
66,2,1,0,0.0,4,0,21.9,6,2,0.5666666666666667,0,76.4,426.0,0,0.9944338655339092,3.0,63.0
56,1,0,0,0.0,1,0,27.5,6,2,0.6,0,79.6,430.0,0,1.248718324300571,4.0,66.0
57,4,0,0,0.0,3,0,26.5,6,2,0.6333333333333333,0,76.4,407.0,0,1.2033103852350957,1.0,56.0
72,0,0,0,0.0,2,0,26.9,6,2,0.7333333333333333,0,63.6,421.0,0,1.2214735608612857,3.0,57.0
61,3,0,0,0.0,2,0,23.7,6,2,0.7666666666666667,0,62.8,430.0,0,1.0761681558517648,2.0,72.0
64,2,1,0,0.0,4,0,25.2,6,2,0.8,0,62.4,420.0,0,1.1442800644499778,2.0,61.0
49,1,0,0,0.0,2,0,25.2,6,2,0.8333333333333334,0,62.0,414.0,0,1.1442800644499778,4.0,64.0
74,4,0,1,0.0,4,0,25.4,6,2,0.8666666666666667,0,60.6,423.3157894736842,0,1.1533616522630727,2.0,49.0
65,0,0,0,0.0,3,0,25.5,6,2,0.9666666666666667,0,64.0,435.0,0,1.1579024461696203,4.0,74.0
54,3,0,0,0.0,2,0,28.3,7,3,0.0,0,62.6,362.0,0,0.993854258121159,3.0,65.0
50,2,1,0,0.0,0,0,28.8,7,3,0.03333333333333333,0,61.2,363.0,0,1.0114135206321335,2.0,54.0
53,1,0,0,0.0,3,0,27.0,7,3,0.06666666666666667,0,58.4,412.0,0,0.9482001755926251,0.0,50.0
63,4,0,0,0.0,4,0.5,22.1,7,3,0.1,0,59.2,432.0,0,0.7761194029850748,3.0,53.0
82,0,1,0,0.0,4,0.5,24.0,7,3,0.2,0,57.0,354.0,0,0.8428446005267779,4.0,63.0
56,3,0,0,0.0,1,0,29.7,7,3,0.23333333333333334,0,60.4,370.0,0,1.0430201931518877,4.0,82.0
54,2,1,0,0.0,4,0,24.6,7,3,0.26666666666666666,0,60.8,388.0,0,0.8639157155399474,1.0,56.0
48,1,0,0,1.0,2,0,28.8,7,3,0.3,0,61.6,386.0,0,1.0114135206321335,4.0,54.0
124,4,0,1,0.0,1,0,33.9,7,3,0.3333333333333333,1,60.6,397.2,0,1.190517998244074,2.0,48.0
65,0,1,0,0.0,3,0,30.9,7,3,0.43333333333333335,0,72.8,418.0,0,1.0851624231782266,1.0,124.0
51,3,0,0,0.0,1,0,30.3,7,3,0.4666666666666667,0,69.4,324.0,0,1.0640913081650571,3.0,65.0
53,2,1,0,0.0,1,0,30.9,7,3,0.5,0,68.4,434.0,0,1.0851624231782266,1.0,51.0
53,1,1,0,0.0,1,0,30.1,7,3,0.5333333333333333,0,68.2,418.0,0,1.0570676031606674,1.0,53.0
55,4,1,0,0.0,2,0,25.6,7,3,0.5666666666666667,0,69.2,401.0,0,0.8990342405618965,1.0,53.0
53,3,0,0,0.0,1,0,30.2,7,3,0.7,0,55.4,409.0,0,1.0605794556628623,2.0,55.0
56,2,1,0,0.0,3,0,32.0,7,3,0.7333333333333333,0,53.0,355.0,0,1.1237928007023705,1.0,53.0
62,1,1,0,0.0,2,0,32.5,7,3,0.7666666666666667,0,54.0,410.0,0,1.1413520632133451,3.0,56.0
83,4,0,1,0.0,1,0,33.6,7,3,0.8,0,55.8,397.2,0,1.1799824407374893,2.0,62.0
65,0,1,0,0.0,1,0,28.9,7,3,0.9,0,61.8,432.0,0,1.0149253731343284,1.0,83.0
52,3,0,0,0.0,1,0,30.4,7,3,0.9333333333333333,0,63.8,449.0,0,1.067603160667252,1.0,65.0
58,2,0,0,0.0,1,0,30.6,7,3,0.9666666666666667,0,63.6,441.0,0,1.074626865671642,1.0,52.0
60,1,0,0,0.0,1,0,32.5,7,3,1.0,0,64.0,386.0,0,1.1413520632133451,1.0,58.0
